date,open,high,low,close
2011-11-08,97.984972,98.834201,97.050827,98.726112
2011-11-09,96.417755,97.120297,94.850552,95.082161
2011-11-10,96.340535,96.456339,94.974054,95.977684
2011-11-11,97.143461,98.039003,97.112580,97.784241
2011-11-14,97.421397,98.394140,96.440926,96.857819
2011-11-15,96.633944,97.853740,96.286537,97.336487
2011-11-16,96.356015,97.537207,95.653478,95.792442
2011-11-17,95.614861,95.854192,93.592169,94.271545
2011-11-18,94.572614,94.765619,93.777433,94.171165
2011-11-21,92.796991,92.912795,91.600361,92.380104
2011-11-22,92.179351,92.719764,91.499968,92.017227
2011-11-23,91.152563,92.017229,89.986809,89.986809
2011-11-25,89.847852,90.866920,89.708888,89.816971
2011-11-28,92.287444,92.781537,91.731587,92.418686
2011-11-29,92.681168,93.414586,92.341476,92.681168
2011-11-30,95.336947,96.672547,92.642594,96.494980
2011-12-01,96.386878,96.996776,96.062630,96.479523
2011-12-02,97.367349,97.660715,96.332837,96.394600
2011-12-05,97.923176,98.185666,96.842351,97.444527
2011-12-06,97.436807,98.131627,97.089400,97.475410
2011-12-07,97.151190,98.247465,96.479535,97.838295
2011-12-08,97.197500,97.413665,95.460452,95.692055
2011-12-09,96.124402,97.560363,96.039480,97.313316
2011-12-12,96.464094,96.479537,95.082180,95.892799
2011-12-13,96.394595,96.942730,94.534021,94.997238
2011-12-14,94.618935,94.981786,93.777435,93.985878
2011-12-15,94.981771,95.113013,94.178868,94.325554
2011-12-16,94.962649,95.522024,94.240115,94.465416
2011-12-19,94.830571,95.032571,93.253429,93.455429
2011-12-20,94.923796,96.446553,93.517577,96.283401
2011-12-21,96.283421,96.617495,95.366657,96.469879
2011-12-22,96.827259,97.425489,96.516497,97.324486
2011-12-23,97.635206,98.225665,97.433212,98.194588
2011-12-27,98.023710,98.528708,97.938249,98.272324
2011-12-28,98.287842,98.303378,96.904930,96.982620
2011-12-29,97.301157,98.085845,97.005930,97.984848
2011-12-30,97.907176,98.148025,97.503181,97.503181
2012-01-03,99.259007,99.740698,99.002623,99.057007
2012-01-04,98.823951,99.297871,98.443263,99.212410
2012-01-05,98.676329,99.624164,98.225715,99.476547
2012-01-06,99.600842,99.616383,98.893850,99.220154
2012-01-09,99.445480,99.585319,98.987101,99.461021
2012-01-10,100.525374,100.727368,100.183528,100.323380
2012-01-11,100.012625,100.509852,99.849479,100.377777
2012-01-12,100.665254,100.766246,99.865018,100.618629
2012-01-13,99.942710,100.261249,99.227947,100.098091
2012-01-17,101.061450,101.247914,100.144681,100.486526
2012-01-18,100.463237,101.651920,100.284549,101.597542
2012-01-19,101.947172,102.219098,101.620868,102.133636
2012-01-20,101.962685,102.514290,101.714066,102.514290
2012-01-23,102.172448,102.747372,101.760683,102.250145
2012-01-24,101.620868,102.164708,101.465487,102.133636
2012-01-25,101.978225,103.229063,101.582001,102.988220
2012-01-26,103.446608,103.640837,102.055930,102.459930
2012-01-27,101.962678,102.591980,101.892747,102.413292
2012-01-30,101.395518,102.118057,101.045907,102.063667
2012-01-31,102.568712,102.693010,101.527633,102.024872
2012-02-01,102.778453,103.438838,102.654155,102.918304
2012-02-02,103.120254,103.345567,102.716265,103.081406
2012-02-03,104.106974,104.588659,103.928286,104.526505
2012-02-06,104.091421,104.503187,103.974888,104.456573
2012-02-07,104.239018,104.899403,103.827253,104.720703
2012-02-08,104.775125,105.054816,104.347818,105.031509
2012-02-09,105.202461,105.342300,104.542076,105.163612
2012-02-10,104.231261,104.472104,103.982642,104.386642
2012-02-13,105.132541,105.287922,104.681927,105.163612
2012-02-14,104.883893,105.093664,104.301205,105.031509
2012-02-15,105.373330,105.528711,104.332252,104.542023
2012-02-16,104.549811,105.792872,104.363347,105.699646
2012-02-17,106.064816,106.150278,105.629744,105.979355
2012-02-21,106.227942,106.476561,105.699644,106.025948
2012-02-22,105.862808,106.088121,105.497656,105.684120
2012-02-23,105.629735,106.227953,105.272348,106.150269
2012-02-24,106.383308,106.593079,106.150243,106.383308
2012-02-27,105.676356,106.849498,105.505434,106.562042
2012-02-28,106.593112,106.997112,106.383341,106.872803
2012-02-29,107.028204,107.362285,106.080364,106.453293
2012-03-01,106.678586,107.206897,106.383354,107.004890
2012-03-02,106.934927,107.074779,106.437701,106.678543
2012-03-05,106.515456,106.593141,105.878378,106.243530
2012-03-06,105.155791,105.217934,104.386639,104.689636
2012-03-07,104.930506,105.590890,104.829503,105.419968
2012-03-08,106.064815,106.686351,105.847279,106.468803
2012-03-09,106.670760,107.160210,106.538686,106.880531
2012-03-12,106.865007,107.028153,106.507619,106.888313
2012-03-13,107.463250,108.869469,107.284550,108.815079
2012-03-14,108.846209,109.118124,108.364512,108.698593
2012-03-15,108.861718,109.374486,108.582027,109.327873
2012-03-16,109.526081,109.619716,109.245164,109.479263
2012-03-19,109.409011,110.243950,109.330974,109.908417
2012-03-20,109.284130,109.721109,108.964195,109.588455
2012-03-21,109.650925,109.752359,109.182727,109.409027
2012-03-22,108.605293,108.894021,108.261961,108.620903
2012-03-23,108.714527,109.096877,108.113675,108.972023
2012-03-26,109.752350,110.501465,109.713343,110.501465
2012-03-27,110.602916,110.673143,110.087901,110.158127
2012-03-28,110.103523,110.275195,108.964246,109.611916
2012-03-29,108.964196,109.627475,108.535017,109.424583
2012-03-30,109.963087,110.064532,109.284210,109.877251
2012-04-02,109.744524,110.969636,109.526035,110.680908
2012-04-03,110.524912,110.712194,109.580717,110.228386
